fecha,indice,indice_ext,salario_real_ipc,salario_pesos_actuales
2006-11-01,114.8,114.8,,2113498.3784794244
2006-12-01,115.0,115.0,,2117180.431403605
2007-01-01,115.3,115.3,,2122703.510789875
2007-02-01,114.0,114.0,,2098770.166782704
2007-03-01,112.7,112.7,,2074836.8227755327
2007-04-01,112.5,112.5,,2071154.7698513526
2007-05-01,110.2,110.2,,2028811.1612232805
2007-06-01,119.1,119.1,,2192662.5163492984
2007-07-01,115.6,115.6,,2128226.590176145
2007-08-01,111.8,111.8,,2058267.5846167218
2007-09-01,109.0,109.0,,2006718.8436781992
2007-10-01,116.5,116.5,,2144795.8283349564
2007-11-01,115.9,115.9,,2133749.6695624157
2007-12-01,114.9,114.9,,2115339.404941515
2008-01-01,113.5,113.5,,2089565.0344722534
2008-02-01,112.2,112.2,,2065631.6904650824
2008-03-01,108.0,108.0,,1988308.5790572984
2008-04-01,104.5,104.5,,1923872.652884145
2008-05-01,112.9,112.9,,2078518.875699713
2008-06-01,110.7,110.7,,2038016.293533731
2008-07-01,109.0,109.0,,2006718.8436781992
2008-08-01,107.8,107.8,,1984626.5261331182
2008-09-01,116.4,116.4,,2142954.801872866
2008-10-01,115.5,115.5,,2126385.5637140553
2008-11-01,114.5,114.5,,2107975.2990931543
2008-12-01,113.9,113.9,,2096929.140320614
2009-01-01,121.6,121.6,,2238688.1779015507
2009-02-01,120.9,120.9,,2225800.99266692
2009-03-01,119.1,119.1,,2192662.5163492984
2009-04-01,117.5,117.5,,2163206.092955857
2009-05-01,127.3,127.3,,2343626.686240686
2009-06-01,126.7,126.7,,2332580.5274681454
2009-07-01,133.0,133.0,,2448565.194579821
2009-08-01,131.1,131.1,,2413585.691800109
2009-09-01,129.8,129.8,,2389652.347792939
2009-10-01,127.8,127.8,,2352831.8185511366
2009-11-01,126.2,126.2,,2323375.3951576953
2009-12-01,123.3,123.3,,2269985.627757082
2010-01-01,120.7,120.7,,2222118.9397427402
2010-02-01,116.7,116.7,,2148477.8812591364
2010-03-01,113.7,113.7,,2093247.0873964338
2010-04-01,111.5,111.5,,2052744.5052304515
2010-05-01,119.7,119.7,,2203708.675121839
2010-06-01,118.3,118.3,,2177934.3046525777
2010-07-01,116.7,116.7,,2148477.8812591364
2010-08-01,122.1,122.1,,2247893.310212001
2010-09-01,120.7,120.7,,2222118.9397427402
2010-10-01,117.7,117.7,,2166888.1458800375
2010-11-01,126.2,126.2,,2323375.3951576953
2010-12-01,123.8,123.8,,2279190.760067533
2011-01-01,122.0,122.0,,2246052.283749911
2011-02-01,120.2,120.2,,2212913.8074322897
2011-03-01,117.5,117.5,,2163206.092955857
2011-04-01,134.6,134.6,,2478021.6179732624
2011-05-01,132.6,132.6,,2441201.0887314607
2011-06-01,130.8,130.8,,2408062.6124138394
2011-07-01,134.9,134.9,,2483544.697359533
2011-08-01,132.4,132.4,,2437519.035807281
2011-09-01,130.0,130.0,,2393334.4007171188
2011-10-01,134.3,134.3,,2472498.538586993
2011-11-01,132.0,132.0,,2430154.9299589205
2011-12-01,129.7,129.7,,2387811.321330848
2012-01-01,128.0,128.0,,2356513.8714753166
2012-02-01,126.5,126.5,,2328898.4745439654
2012-03-01,123.1,123.1,,2266303.5748329023
2012-04-01,134.2,134.2,,2470657.512124902
2012-05-01,132.1,132.1,,2431995.95642101
2012-06-01,129.9,129.9,,2391493.3742550286
2012-07-01,133.4,133.4,,2455929.3004281814
2012-08-01,131.6,131.6,,2422790.8241105597
2012-09-01,128.8,128.8,,2371242.0831720377
2012-10-01,130.8,130.8,,2408062.6124138394
2012-11-01,129.0,129.0,,2374924.1360962177
2012-12-01,127.5,127.5,,2347308.739164866
2013-01-01,125.1,125.1,,2303124.104074704
2013-02-01,122.6,122.6,,2257098.4425224517
2013-03-01,139.2,139.2,,2562708.8352294066
2013-04-01,137.4,137.4,,2529570.3589117853
2013-05-01,135.1,135.1,,2487226.750283713
2013-06-01,134.1,134.1,,2468816.485662812
2013-07-01,130.4,130.4,,2400698.5065654786
2013-08-01,127.6,127.6,,2349149.7656269562
2013-09-01,126.4,126.4,,2327057.448081875
2013-10-01,123.3,123.3,,2269985.627757082
2013-11-01,124.3,124.3,,2288395.8923779833
2013-12-01,121.1,121.1,,2229483.0455911
2014-01-01,122.8,122.8,,2260780.4954466317
2014-02-01,116.5,116.5,,2144795.8283349564
2014-03-01,113.5,113.5,,2089565.0344722534
2014-04-01,110.5,110.5,,2034334.2406095506
2014-05-01,107.8,107.8,,1984626.5261331182
2014-06-01,123.7,123.7,,2277349.733605443
2014-07-01,121.9,121.9,,2244211.2572878213
2014-08-01,132.1,132.1,,2431995.95642101
2014-09-01,132.8,132.8,,2444883.1416556416
2014-10-01,130.8,130.8,,2408062.6124138394
2014-11-01,130.9,130.9,,2409903.638875929
2014-12-01,128.9,128.9,,2373083.1096341275
2015-01-01,126.4,126.4,,2327057.448081875
2015-02-01,124.7,124.7,,2295759.9982263437
2015-03-01,122.6,122.6,,2257098.4425224517
2015-04-01,119.8,119.8,,2205549.701583929
2015-05-01,117.2,117.2,,2157683.013569587
2015-06-01,135.7,135.7,,2498272.9090562537
