fecha,salario,indice,ajustado,salario_indice,nominal,salario_real_indice,salario_real
2023-06-01,344241,2329.7559755099996,801997526.7655377,18.41057867151567,344241,0.007902363537230747,1781056.8470326096
2023-07-01,382107,2477.575517612,946698948.3081685,20.43571504973794,382107,0.008248271305746034,1859018.509597658
2023-08-01,427960,2785.826487968,1192222303.7907853,22.88800941277142,427960,0.008215877590232148,1851717.523184541
2023-09-01,475036,3141.012404308,1492093968.492855,25.405711840838592,475036,0.008088383161427137,1822982.4714102393
2023-10-01,574793,3401.7710680200003,1955314197.50042,30.740881377687455,574793,0.00903672844615619,2036723.1902167134
2023-11-01,632273,3837.5614200720006,2426386471.753184,33.815006952615256,632273,0.008811587164637699,1985980.217040523
2023-12-01,689177,4814.822338628,3318264814.868629,36.85832709380682,689177,0.0076551790495160265,1725345.7142493122
2024-01-01,799446,5807.360662776,4642671252.413622,42.755695796341854,799446,0.007362328306970352,1659342.1929341771
2024-02-01,895379,6576.294475393999,5888275971.083803,47.886351481441864,895379,0.00728166168054281,1641161.3225339598
2024-03-01,967009,7300.324778546,7059479763.776989,51.71724248582736,967009,0.0070842385859068375,1596665.5520208522
2024-04-01,986350,7945.083678254,7836633286.045833,52.751631190501655,986350,0.006639531227957347,1496436.1610202857
2024-05-01,1055394,8276.89642321,8735386823.677296,56.44421863300888,1055394,0.00681949075437606,1536995.9435722681
2024-06-01,1055394,8655.73541773,9135211225.459736,56.44421863300888,1055394,0.006521019406091273,1469725.634379183
2024-07-01,1092333,9004.642373246,9836068017.494925,58.4197775163119,1092333,0.0064877398895801675,1462225.0036541114
2024-08-01,1125103,9380.340660888001,10553849418.587072,60.17237137661782,1125103,0.006414731996622554,1445770.28007338
2024-09-01,1147605,9705.764199354,11138383523.999647,61.37581559525083,1147605,0.006323645859780511,1425241.0312065124
2024-10-01,1159081,9967.017946508,11552581128.45644,61.989571077120544,1159081,0.0062194701975869255,1401761.6284215248
2024-11-01,1182263,10208.873226036001,12069573086.833,63.22938282169216,1182263,0.006193571163214794,1395924.4314509355
2024-12-01,1194085,10484.93178055,12519899765.178045,63.861642956465936,1194085,0.00609080195208633,1372762.0185497652
2025-01-01,1211996,10716.758656418,12988668624.543991,64.81955289335758,1211996,0.0060484289113424015,1363211.86384086
2025-02-01,1226540,10974.135271997999,13460215876.516426,65.59739009519734,1226540,0.0059774541200141775,1347215.3664048356
2025-03-01,1242485,11383.397573292,14143700733.851711,66.4501550968018,1242485,0.005837462380538191,1315663.6357172995
2025-04-01,1258638,11699.951173372001,14726003144.950588,67.314044282811,1258638,0.005753361128208081,1296708.6597027371
2025-05-01,1275000,11875.580150654001,15141364692.08385,68.18911113488073,1275000,0.005741960415392884,1294139.1350883744
2025-06-01,1275000,12053.845509678456,15368653024.840033,68.18911113488073,1275000,0.005657042068452702,1275000.0
